id,ident,type,name,latitude_deg,longitude_deg,scheduled_service
7767,12JY,balloonport,Clinton Elks Lodge Balloonport,40.60419846,-74.92079926,no
7829,13M,balloonport,Aeronut Park Balloonport,42.60419846,-83.8585968,no
9213,28NC,balloonport,Balloonport of Greensboro Balloonport,35.9557991,-79.81890106,no
45530,2JY7,balloonport,Alba Vineyard Balloonport,40.615689,-75.164167,no
10140,35JY,balloonport,Cyber Density Balloon Spot Balloonport,40.43439865,-74.63469696,no
11644,4OH6,balloonport,Wingfoot Lake Airship Operations Balloonport,41.0094986,-81.35790253,no
12057,55NJ,balloonport,Garden State Balloonport,40.63339996,-74.76629639,no
46296,59ID,balloonport,Palisades Field,43.184833,-111.049361,no
12432,5KS0,balloonport,Anthony Balloonport,37.0945015,-97.96140289,no
38811,AR-0136,balloonport,El Manantial Airport,-35.1943,-58.3594,no
324445,BE-0012,balloonport,C_roux-Mousty Ballon Field,50.660241,4.513276,no
16882,CO28,balloonport,Suckla Farms Balloonport,40.05830002,-104.8919983,no
323838,DE-0351,balloonport,Balloonport Bitterfeld,51.62455,12.29391,no
322152,FR-0354,balloonport,C_rizols Balloonport,43.128889,1.069444,no
18263,JY03,balloonport,View Finder Balloonport,40.73730087,-75.04599762,no
18292,JY33,balloonport,Harmony Balloonport,40.73949814,-75.13800049,no
18299,JY42,balloonport,Mabel's Balloonport,40.46829987,-75.02380371,no
314582,KZR,balloonport,Zaffre,52.112201,52.13004,no
21769,MA26,balloonport,Balloon Port At Dingley Dell Balloonport,42.12039948,-72.2562027,no
45548,NY80,balloonport,Aurora Balloonport,42.696389,-78.569167,no
24352,RI16,balloonport,Keskinen Balloonport,41.71480179,-71.63729858,no
324533,SG-0004,balloonport,Osman Ibrahim,0,0,no
25392,VA60,balloonport,Flying Horse Farm Balloonport,39.05149841,-77.77749634,no
6526,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,no
6529,00CO,closed,Cass Field,40.622202,-104.344002,no
6550,00MT,closed,Sands Ranch Airport,48.537498,-109.705002,no
6559,00PS,closed,Thomas Field,40.3778,-77.365303,no
6566,00TX,closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,no
6567,00UT,closed,Clear Creek Ranch Airport,37.24779892,-112.8219986,no
6581,01C,closed,Grant Airport,43.34170151,-85.77500153,no
6619,01OR,closed,Red & White Flying Service Airport,43.119301,-121.044997,no
6640,02AZ,closed,Winchester Farm Airstrip,32.376401,-109.936996,no
6687,02TS,closed,FWOMC Heliport,32.747601,-97.370003,no
6703,03FD,closed,Tharpe Airport,30.8288,-85.731003,no
6705,03I,closed,Clarks Dream Strip,39.644199,-83.018204,no
6742,03TA,closed,Gay Hill Farm Airport,30.262699,-96.500198,no
6748,03VA,closed,Whipoorwill Springs Airport,38.66460037,-77.57969666,no
6773,04MA,closed,Goddard Field (Airport),42.80979919,-71.1391983,no
6786,04OH,closed,Bossow Airport,41.2477,-81.100701,no
6836,05NC,closed,Brunswick Community Hospital Heliport,34.008099,-78.2911,no
6850,05TN,closed,Thurmond Glenn Field,35.556998,-89.552903,no
6881,06LL,closed,Hammersmith Heliport,41.8736,-88.496901,no
6894,06NJ,closed,Chemical Bank - New Jersey Na Heliport,39.950102,-74.999603,no
6917,07AZ,closed,John C Lincoln Hospital Heliport,33.56669998,-112.0690002,no
6922,07CT,closed,Tnt Heliport,41.45289993,-72.24960327,no
6949,07OH,closed,Tennessee Gas Heliport,39.9373,-81.683503,no
7014,08WI,closed,Pierick Airport,43.04359818,-90.35510254,no
7108,0CA1,closed,Northside Airpark,34.98830032,-120.4580002,no
7221,0II3,closed,Miller Strip,40.6278,-86.037804,no
7279,0LA6,closed,Freeport Sulphur Heliport,29.2586,-89.959198,no
7291,0LL9,closed,Savanna Army Depot Helipad,42.183399,-90.255698,no
7296,0LS4,closed,Buller's Airstrip,30.808701,-92.188003,no
7320,0MI0,closed,Sumner Heliport,42.970001,-85.6659,no
7327,0MI8,closed,Twin Lakes Airport,44.900002,-84.300001,no
7342,0MO3,closed,Arvin Ranch Airport,38.4403,-94.5933,no
7440,0OH2,closed,Jenkins Field,39.970604,-83.911598,no
7508,0Q6,closed,Shingletown Airport,40.52209854,-121.8180008,no
7527,0T7,closed,Kittyhawk Airport,33.126202,-96.683601,no
7558,0TS0,closed,Flower Mound Airport,33.0229,-97.122498,no
7567,0TS9,closed,Jim Roach Field,30.015499,-97.737197,no
7654,10CL,closed,Joe Gottlieb Field,35.368,-119.195,no
7674,10MO,closed,Eckerts Airstrip,38.914501,-91.704301,no
7704,11CO,closed,Channel 7 Heliport,39.7253,-104.984,no
7711,11ID,closed,Riddle Airport,42.185504,-116.112999,no
7716,11KS,closed,Sheller's Airport,39.116695,-95.148904,no
7725,11MN,closed,Sixberry's Landing Seaplane Base,47.6777,-93.048203,no
7786,12NM,closed,Columbus Stockyards Airport,31.7918,-107.638001,no
7789,12OK,closed,Expressway Airpark,35.541302,-97.453102,no
7882,14IL,closed,Kewanee Hospital Heliport,41.235298,-89.9309,no
7883,14IN,closed,De Motte Airport,41.207,-87.212502,no
7891,14MA,closed,Vergnani Heliport,42.049801,-72.6493,no
7894,14MO,closed,Stevinson Farm Airport,39.049999,-94.316902,no
7907,14OK,closed,Reherman Airport,35.804199,-97.933701,no
7943,15LA,closed,Creole Heliport,29.790199,-93.184097,no
7957,15NK,closed,Knox Landing Airport,42.576401,-78.556702,no
7998,16LS,closed,Atchafalaya Flying Company Airport,30.944401,-91.7939,no
8010,16NY,closed,Station 241 Heliport,42.939804,-76.114899,no
8045,17LA,closed,Shell Venice Terminal Heliport,29.2708,-89.3545,no
8094,18IS,closed,Allstate South Barrington Plaza Heliport,42.069374,-88.174813,no
8194,1AL9,closed,Lake Tuscaloosa Seaplane Base,33.347801,-87.601897,no
8214,1B3,closed,Fair Haven Municipal Airport,43.615299,-73.274597,no
8350,1IL2,closed,Hobby Hideaway RLA Airport,40.347,-89.470703,no
8441,1MD3,closed,Krastel Farms Airport,39.308998,-75.987701,no
8457,1MI7,closed,Thompson Airport,44.3167,-84.066704,no
8461,1MN1,closed,Beyer Airport,45.9733,-96.564201,no
8464,1MN4,closed,Krueger Loon Lake Seaplane Base,46.622202,-95.836404,no
8487,1MS9,closed,Piker-Too Airport,31.0118,-90.968201,no
8562,1NY7,closed,Minard Farms Airport,41.708401,-74.061798,no
8657,1T9,closed,Lesikar Ranch Airport,29.516899,-96.844398,no
8726,1W5,closed,[Duplicate] Hoby Wolf Airport,39.40790176,-76.92749786,no
8796,20LS,closed,Clark Field,30.6229,-91.032997,no
8827,21CO,closed,Lookout Center Parking Lot Heliport,39.734405,-105.206001,no
8851,21NE,closed,Byron Airport,40.0042,-97.773102,no
8873,22AK,closed,Helmericks Airport,70.428338,-150.402896,no
8883,22FL,closed,Farm Air Service Airport,30.6019,-85.1399,no
45693,22NR,closed,Bully Field,36.153611,-79.400556,no
8914,22TA,closed,Standard Industries Airport,29.341299,-98.659697,no
8925,22Y,closed,Morey's Airport,46.323601,-94.638601,no
8966,23OH,closed,Kettering-Samaritan Health Center Heliport,40.6445,-82.228798,no
9003,24KS,closed,Blocker Field,37.858299,-97.817802,no
9012,24MI,closed,Johnson Airport,42.799999,-85.370796,no
9058,25LA,closed,Era - Morgan City Heliport,29.6458,-91.119301,no
9095,26CO,closed,Lockheed Martin Cmd & Cntrl Sys Heliport,38.983898,-104.801003,no
9120,26OH,closed,Hitz Airport,40.875301,-81.295097,no
9122,26OR,closed,Cub Port Airport,45.437901,-122.527868,no
9154,27KY,closed,Bogle Farm Heliport,36.951099,-86.508102,no
9187,28AL,closed,Golden Pond Airport,33.862597,-86.120696,no
9251,29KS,closed,Navrat Airport,38.4828,-97.011398,no
9263,29NC,closed,29NC Airport,35.31169891,-81.62529755,no
9269,29OK,closed,Ditch Witch Airport,36.299999,-97.317002,no
9271,29PA,closed,Gardner Airport,40.556801,-75.643204,no
9315,2AR8,closed,L C Hickman Airport,36.352798,-94.333097,no
9374,2F2,closed,Circle U Heliport,43.491402,-82.623595,no
9426,2I2,closed,Olive Hill-Sellers' Field,38.25370026,-83.14299774,no
9434,2IA7,closed,Downtown Heliport,41.972801,-91.669296,no
9438,2ID4,closed,Silverwood Airport,47.908199,-116.709,no
9441,2II1,closed,Yoder Airport,41.609798,-85.525497,no
9442,2II2,closed,Indian Creek Airport,37.987499,-87.9384,no
9493,2KS4,closed,Dick Airport,37.4478,-98.225304,no
9516,2LA8,closed,Transco Heliport,29.983,-92.281503,no
9560,2MN5,closed,Pelican Lake Seaplane Base,48.057999,-92.856003,no
9577,2MS2,closed,TGP Station 54 Heliport,33.357201,-91.054701,no
9578,2MS3,closed,TGP Station 542 Heliport,32.638901,-88.660004,no
9627,2NH9,closed,Brookside Heliport,44.028099,-72.010803,no
9686,2OK1,closed,Frost Ranch Airport,35.590099,-97.010598,no
9688,2OK3,closed,Moore Airpark,35.35419846,-97.48390198,no
9805,2TS9,closed,DPS-Tyler Heliport,32.313999,-95.239098,no
9900,2Y2,closed,Hawarden Municipal Airport,43.0369,-96.493102,no
9922,30KS,closed,Tyler Airport,37.132301,-97.073402,no
10055,33MI,closed,Great Lakes Airport,46.0666,-88.007599,no
10081,34CA,closed,Fiddyment Field,38.792099,-121.3730011,no
10112,34OK,closed,Double Bar S Ranches Airport,35.900101,-96.5503,no
10141,35KS,closed,Blue Sky Ranch and Aerodrome,37.5336,-97.311697,no
10159,35OK,closed,Schumacher Field,35.5,-99.035598,no
10216,37AR,closed,Beech Creek Airport,33.182499,-91.628304,no
10290,38NC,closed,Annie Penn Hospital Heliport,36.353901,-79.666702,no
10326,39ID,closed,Albion Municipal Airport,42.4007,-113.5603,no
10361,3AK0,closed,Little Niklason Lake Seaplane Base,61.626499,-149.287994,no
10374,3AL4,closed,Aldot Complex Heliport,32.413601,-86.268097,no
10403,3C5,closed,[Duplicate] Wheeler Airport,41.18980026,-86.60700226,no
10407,3CA3,closed,Dixon Airport,34.922199,-119.526001,no
10408,3CA5,closed,Haws Airport,36.9416,-120.242995,no
10441,3FD1,closed,Tampa Bay Executive Airport,28.18799973,-82.62560272,no
10484,3I1,closed,Elwood Airport,40.2528,-85.833298,no
10536,3K4,closed,Hillsboro Municipal Airport,39.1445,-89.457,no
10547,3KY0,closed,Lamar Field,37.896702,-86.789397,no
10553,3KY6,closed,Russell Airport,38.0306,-86.231697,no
10557,3L1,closed,Charlie Hammonds Seaplane Base,29.589899,-90.713402,no
10604,3MI1,closed,Fuller Heliport,42.5623,-83.659103,no
10615,3MN3,closed,Honker Flats Airport,48.538896,-95.952004,no
10705,3OH3,closed,Pelz Field,39.983898,-83.613298,no
10789,3TA1,closed,Diamond K Ranch Airport,30.0366,-98.697502,no
10918,40II,closed,Keener Field,41.351399,-84.816902,no
10926,40MO,closed,Louise's Strip,39.422798,-94.8377,no
11027,43CN,closed,Mazza Airport,38.1852,-122.601997,no
11071,44FD,closed,Epcot Center Ultralightport,28.35309982,-81.54699707,no
11086,44MN,closed,Freedom Base Heliport,45.168701,-93.728698,no
11095,44OK,closed,Sky High Airport,35.954201,-97.549202,no
11167,46MN,closed,Elmer Airport,46.005501,-95.692,no
11173,46NJ,closed,Perl Acres Airport,40.152903,-74.455202,no
11177,46OK,closed,Steinert Lakes Airport,36.2211,-97.844498,no
11415,4FL4,closed,Darrah Air Park,29.778299,-82.890405,no
11430,4GA5,closed,Southwire Heliport,33.566562,-85.070522,no
11498,4KY3,closed,West Heliport,39.0572,-84.775297,no
11592,4NC2,closed,Bay Creek Airport,35.206437,-76.611511,no
11624,4NK8,closed,Longwell Airport,43.0009,-74.187103,no
11655,4OK0,closed,Zevely Climbing Zz Ranch Airport,35.225101,-96.722802,no
11675,4OR9,closed,Peace Harbor Hospital Heliport,43.973998,-124.116997,no
11690,4PN4,closed,Muddy Run Heliport,39.845402,-76.285202,no
11721,4TE1,closed,Figure 1 Ranch Airport,36.266998,-100.535004,no
11723,4TE3,closed,Finley Ranch Airport,35.116698,-101.442002,no
11728,4TE8,closed,Ben Bruce Memorial Airpark,30.32099915,-94.07350159,no
11731,4TN1,closed,TGP Station 555 Heliport,35.025101,-87.757797,no
11735,4TN5,closed,TGP Station 860 Heliport,35.847801,-87.449501,no
11766,4VA2,closed,Potomac Hospital Helistop,38.6362,-77.286102,no
11776,4W6,closed,Blaine Municipal Airport,48.990101,-122.732002,no
11792,4WI3,closed,Neveln Field,45.325199,-88.137299,no
11833,50IN,closed,Austin Air Ads Airport,39.2181,-87.368102,no
11849,50OI,closed,Beckman Field,39.742569,-83.038201,no
11861,50WI,closed,Earl's Air Park,44.113899,-88.527101,no
11879,51MO,closed,Georger Farms Airport,37.12170029,-89.84760284,no
11901,52AK,closed,Basquo Airport,60.505798,-151.246003,no
11905,52CA,closed,Lake Mathews Airport,33.8531,-117.424004,no
11987,53WI,closed,Kelly Airport,42.698101,-89.786796,no
12005,54LA,closed,Triangle J Airport,30.5627,-91.038399,no
12125,57FD,closed,Sunset Strip Airpark,28.5397,-82.228895,no
12126,57FL,closed,Alachua General Hospital Heliport,29.649099,-82.334503,no
12147,57OR,closed,Umpqua River Farm Airport,43.34,-123.450996,no
12213,59KS,closed,Dunn Field,38.408401,-95.019095,no
12215,59L,closed,City Hall Heliport,34.054199,-118.242995,no
12233,59TE,closed,Hoffpauir Airport,29.80579948,-95.75299835,no
12258,5AL4,closed,Blueberry Hill Airport,31.121599,-85.365403,no
12357,5FL9,closed,Cedar Lane Airport,30.7363,-86.212997,no
12403,5IL8,closed,Tollway Heliport,41.8051,-88.052478,no
18777,5KY7,closed,Dale Hollow Regional (Petro Field) Airport,36.637798,-85.163803,no
12480,5MD2,closed,Marsh Field,39.576698,-78.9186,no
12482,5MD4,closed,AAI Heliport,39.469601,-76.640503,no
12589,5OH7,closed,Keller Airport,41.446702,-82.007103,no
12674,5TN0,closed,TGP Station 79 Heliport,35.778099,-87.785302,no
12691,5TS7,closed,R D Williams Airport,31.7766,-94.485497,no
12730,5WI0,closed,Grandpa's Farm Airport,44.7027,-91.133797,no
12794,60OK,closed,Carlin Lawrence Airport,35.122299,-98.519798,no
12854,62AZ,closed,Mesa Lutheran Hospital Heliport,33.4342,-111.842002,no
12904,63IN,closed,Ropkey Field,39.8995018,-86.271698,no
12907,63KS,closed,5-D Ranch Airport,39.3283,-97.060898,no
12989,65GA,closed,Fort Gillem Heliport,33.61500168,-84.3463974,no
13010,65TS,closed,Becker Airport,33.402301,-97.670898,no
13066,67IN,closed,Smitty's Soaring Airport,41.236401,-86.5942,no
13070,67LA,closed,Transcontinental Gas Pipeline Corp Heliport,30.462999,-91.113998,no
13106,68IL,closed,Prairie Lake Hunt Club Airport,41.395,-88.682898,no
13123,68OR,closed,Lyda Ranch Airstrip,45.3911,-121.276001,no
13149,69KY,closed,Lyndon Fire Protection District Heliport,38.2612,-85.602502,no
13160,69OH,closed,Dwight Field,40.2631,-82.514397,no
13188,6AR2,closed,A J's Airport,35.020401,-93.064903,no
13200,6B3,closed,Bean Blossom Airport,43.0405,-84.0051,no
13215,6CL0,closed,Majors Airport,35.5261,-119.101997,no
13267,6GA9,closed,Palmyra Park Heliport,31.6068,-84.170197,no
13283,6II1,closed,Executive Inn Heliport,37.971699,-87.565598,no
13298,6IL7,closed,Ameritech Center Heliport,42.077801,-88.123595,no
13332,6KS8,closed,Mary's Place Airport,38.383598,-96.146103,no
13337,6LA2,closed,Division 'B' Office Heliport,29.5874,-90.738402,no
13383,6MN1,closed,Chuck West Memorial Heliport,46.010201,-95.681198,no
13473,6OI0,closed,Derecsky Airport,41.3759,-81.257301,no
13525,6R4,closed,Bird's Nest Airport,30.39660072,-97.56729889,no
13566,6TS3,closed,Dale Acres Airport,32.159902,-96.941902,no
13626,6XS6,closed,US Coast Guard Port Safety Station Heliport,29.7286,-95.256897,no
13669,70TA,closed,BTA Heliport,31.996799,-102.081001,no
13670,70TE,closed,Flying Heart Ranch Airport,31.5021,-97.080803,no
13675,70WI,closed,Kanten Field,45.032203,-92.354401,no
13691,71LA,closed,Gustafson Airport,32.433101,-91.315201,no
13698,71NJ,closed,RBH Heliport,40.540697,-74.506501,no
13707,71TS,closed,Circle C Ranch Airport,32.896,-97.287804,no
13712,71XS,closed,Flying V Airport,33.3465004,-97.20580292,no
